Pianist,KnotIndex,X,Y,Z,Velocity,RubatoDevS,ScoreProgress
REINECKE Andante,0,25.888,106.9622,0.0,0.5748,0.1667,0.0
REINECKE Andante,1,-34.2328,74.8,2.0,0.5276,-0.125,0.020979
REINECKE Andante,2,-69.7453,9.942,4.0,0.4488,-0.125,0.027972
REINECKE Andante,3,-36.3899,-42.133,6.0,0.4094,-0.25,0.041958
REINECKE Andante,4,-9.3074,63.2878,8.0,0.3465,0.0,0.055944
REINECKE Andante,5,0.5367,-121.265,10.0,0.6693,0.125,0.06993
REINECKE Andante,6,75.907,-48.2662,12.0,0.5197,0.0,0.083916
REINECKE Andante,7,43.566,20.172,14.0,0.2992,-0.125,0.097902
REINECKE Andante,8,-103.1105,-30.9983,16.0,0.6378,0.0,0.111888
REINECKE Andante,9,4.584,-83.9126,18.0,0.5197,-0.0833,0.125874
REINECKE Andante,10,34.4217,-39.1482,20.0,0.3858,-0.25,0.13986
REINECKE Andante,11,-41.2663,31.8827,22.0,0.3071,-0.0833,0.153846
REINECKE Andante,12,42.1641,-90.0159,24.0,0.5827,0.0,0.167832
REINECKE Andante,13,111.8808,22.7483,26.0,0.6614,0.0417,0.174825
REINECKE Andante,14,-112.766,31.7357,28.0,0.5827,0.25,0.181818
REINECKE Andante,15,-83.6458,-74.2058,30.0,0.6063,0.125,0.195804
REINECKE Andante,16,16.7903,-107.5476,32.0,0.6457,0.0,0.20979
REINECKE Andante,17,90.8055,60.023,34.0,0.6457,0.0,0.223776
REINECKE Andante,18,-125.8232,-13.7881,36.0,0.7244,0.0833,0.237762
REINECKE Andante,19,73.835,107.1772,38.0,0.6299,0.3333,0.251748
REINECKE Andante,20,17.5254,63.3463,40.0,0.4173,-0.125,0.27972
REINECKE Andante,21,70.1148,-105.0592,42.0,0.6142,0.3125,0.283217
REINECKE Andante,22,-112.462,-134.9687,44.0,0.6772,0.875,0.286713
REINECKE Andante,23,-31.0009,187.6572,46.0,0.5669,1.3125,0.29021
REINECKE Andante,24,-183.07,78.9321,48.0,0.5984,1.375,0.293706
REINECKE Andante,25,-115.8085,-78.0318,50.0,0.4961,0.75,0.335664
REINECKE Andante,26,136.7708,-83.6044,52.0,0.6929,0.625,0.356643
REINECKE Andante,27,101.3165,101.1681,54.0,0.5591,0.6667,0.363636
REINECKE Andante,28,-134.1241,-42.9251,56.0,0.5039,0.75,0.377622
REINECKE Andante,29,76.1436,-83.5684,58.0,0.378,0.625,0.398601
REINECKE Andante,30,58.4233,137.1697,60.0,0.5591,0.75,0.405594
REINECKE Andante,31,-141.9566,-3.7704,62.0,0.5118,0.75,0.41958
REINECKE Andante,32,-93.7495,-77.8838,64.0,0.5748,0.3333,0.447552
REINECKE Andante,33,59.8789,-122.1579,66.0,0.7087,0.25,0.461538
REINECKE Andante,34,-117.8798,30.9337,68.0,0.6142,0.25,0.48951
REINECKE Andante,35,-87.5363,-80.4709,70.0,0.6535,0.125,0.503497
REINECKE Andante,36,74.6729,51.2814,72.0,0.3465,0.375,0.51049
REINECKE Andante,37,-82.2763,49.2983,74.0,0.3228,0.5,0.517483
REINECKE Andante,38,-16.3912,-147.581,76.0,0.6142,0.625,0.524476
REINECKE Andante,39,99.734,-80.8837,78.0,0.4803,0.625,0.531469
REINECKE Andante,40,86.6363,130.6508,80.0,0.6299,0.7083,0.538462
REINECKE Andante,41,-146.6025,-82.0672,82.0,0.6063,0.9167,0.545455
REINECKE Andante,42,94.3832,-136.14,84.0,0.5512,1.0,0.552448
REINECKE Andante,43,-43.9752,239.7237,86.0,0.5984,2.0,0.559441
REINECKE Andante,44,-236.4074,97.003,88.0,0.6772,2.0,0.566434
REINECKE Andante,45,-174.5208,-122.139,90.0,0.3937,2.0,0.573427
REINECKE Andante,46,9.6112,-241.1701,92.0,0.5827,2.0,0.58042
REINECKE Andante,47,235.8526,119.5189,94.0,0.6772,2.125,0.587413
REINECKE Andante,48,19.5967,191.9099,96.0,0.378,1.75,0.615385
REINECKE Andante,49,137.5582,-268.4967,98.0,0.6299,2.75,0.629371
REINECKE Andante,50,294.9229,-28.7975,100.0,0.7717,2.375,0.657343
REINECKE Andante,51,170.7659,216.3735,102.0,0.6929,2.25,0.671329
REINECKE Andante,52,-13.6464,280.0911,104.0,0.4882,2.75,0.692308
REINECKE Andante,53,-269.6789,155.1656,106.0,0.6929,2.75,0.699301
REINECKE Andante,54,227.8825,-178.2179,108.0,0.4882,2.875,0.713287
REINECKE Andante,55,270.263,94.4765,110.0,0.6457,2.5,0.741259
REINECKE Andante,56,60.6207,253.7518,112.0,0.5354,2.375,0.755245
REINECKE Andante,57,-163.1662,169.7932,114.0,0.4252,2.25,0.769231
REINECKE Andante,58,-81.7195,-206.9415,116.0,0.3386,2.25,0.783217
REINECKE Andante,59,126.1786,-175.2918,118.0,0.3543,2.125,0.797203
REINECKE Andante,60,125.0029,219.4975,120.0,0.5984,2.125,0.811189
REINECKE Andante,61,-114.1418,218.0137,122.0,0.6142,2.0,0.825175
REINECKE Andante,62,246.5289,-57.7431,124.0,0.5433,2.25,0.839161
REINECKE Andante,63,158.8731,154.0306,126.0,0.4488,2.0,0.86014
REINECKE Andante,64,-218.7787,8.3912,128.0,0.3543,2.1667,0.867133
REINECKE Andante,65,222.6332,-125.4871,130.0,0.5591,2.25,0.881119
REINECKE Andante,66,162.6873,86.095,132.0,0.2598,1.875,0.909091
REINECKE Andante,67,-51.7594,-225.4717,134.0,0.4567,2.125,0.923077
REINECKE Andante,68,221.2022,-28.87,136.0,0.3622,2.2083,0.93007
REINECKE Andante,69,144.5178,-270.1855,138.0,0.6614,2.75,0.937063
REINECKE Andante,70,175.8919,231.1685,140.0,0.4961,2.875,0.944056
REINECKE Andante,71,-95.4416,261.8121,142.0,0.4173,2.875,0.951049
REINECKE Andante,72,-277.6362,62.4422,144.0,0.4567,2.875,0.958042
REINECKE Andante,73,-223.5677,-220.6255,146.0,0.6535,2.875,0.965035
REINECKE Andante,74,231.9576,-193.854,148.0,0.5354,2.9583,0.972028
REINECKE Andante,75,252.0018,186.5249,150.0,0.5906,3.0,0.979021
REINECKE Andante,76,-301.89,166.6564,152.0,0.7402,3.125,0.986014
REINECKE Andante,77,-269.0613,-145.4516,154.0,0.4803,3.125,0.993007
REINECKE Andante,78,300.039,-96.9948,156.0,0.4646,3.2917,1.0
